blue,brightness,green,greenness,landcover,nbr,ndmi,ndvi,nir,red,swir1,swir2,wetness
561,2790.852492,636,1985.08361,developed,0.19764328,0.07293666,0.28137535,1118,627,966,749,-678.5731522
741.5,2770.77434,958,1948.312877,developed,0.18080825,0.079640806,0.2846383,1833.5,1021,1563,1272,-674.6077639
336.5,2559.9324,600.5,1599.1203,developed,0.35430214,0.16432658,0.57040155,2239,612.5,1607,1067.5,-708.448
507,2788.213183,837,1986.18597,developed,0.14202264,0.03473371,0.22426614,1564,991,1459,1175,-685.9056839
404,2887.6063,470,2137.1409,developed,0.17007874,0.040616248,0.22304527,743,472,685,527,-703.3981
835,2958.556,1372.5,1733.937,developed,0.1255787,0.021712484,0.33661667,2917.5,1448,2793.5,2266.5,-779.5634
442,2831.41669,717,2057.421515,developed,0.26955926,0.098108746,0.42648754,1858,747,1526,1069,-685.1074267
677,3302.0052,1117,2018.6709,developed,-0.014897287,-0.07942556,0.11323764,1570.5,1251,1841.5,1618,-1038.312
482,1592.891969,736,623.5240561,developed,0.27369642,0.086810365,0.64010745,2748,603,2309,1567,-363.8036816
252,2832.799446,640,2058.512022,developed,0.3429803,0.15457915,0.5348346,2181,661,1597,1067,-683.8029624
442,1645.636913,681,689.8603584,developed,0.23570111,0.028209556,0.61726534,2679,634,2532,1657,-371.7202996
486,1699.048983,748,760.885991,developed,0.36490026,0.14194201,0.68633306,3387,630,2545,1576,-380.6961443
624,1605.211382,1058,625.5535129,developed,0.3033582,0.09618704,0.56426334,3493,973,2880,1867,-368.1689733
504,2833.132236,760,2059.794174,developed,0.018169113,0.030774673,0.30672646,1457,773,1370,1405,-684.631102
490,2563.478,797,1600.582,developed,0.19840743,0.046653144,0.24809952,1806,1088,1645,1208,-709.4296
718,1630.471696,1099,656.9695647,developed,0.24666935,0.07840056,0.46454826,3088,1129,2639,1866,-372.3553792
376,2826.10819,620,2046.216529,developed,0.3591005,0.17962794,0.5324881,1934,590,1345,912,-682.7429357
544,2976.8023,815,1736.2347,developed,0.10057803,-0.046092186,0.33286664,1904,953,2088,1556,-787.6264
499,3230.8701,841,2063.0891,developed,0.46187076,0.23103192,0.69741017,4145.5,739,2589.5,1526,-957.2703
688,2773.787477,955,1952.902209,developed,0.23070772,0.017352503,0.4945375,3078,1041,2973,1924,-675.5481616
638,2827.905514,954,2048.733022,developed,0.20208083,0.044385213,0.36421436,2253,1050,2061.5,1495.5,-682.3360376
777,2843.3785,1190,2067.5359,developed,0.07671005,0.029661017,0.20782852,1944,1275,1832,1667,-687.7577
241,2832.560387,531,2059.003288,developed,0.54849887,0.303207,0.7286497,2682,421,1434,782,-684.7898769
556.5,1596.064985,773,496.7459545,developed,0.35918453,0.110119306,0.66118675,3233.5,659.5,2592,1524.5,-389.4303988
269,2604.1726,576,1773.0394,developed,0.5314363,0.25119007,0.7023648,2825.5,494,1691,864.5,-673.3623
536.5,1603.300686,835,503.2684929,developed,0.39265922,0.13450891,0.6464334,3329.5,715,2540,1452,-391.7198008
323,1648.966393,532,692.7085431,developed,0.446508,0.18694998,0.75778764,2765,381,1894,1058,-373.01308
1064,2823.712721,1389,2041.186732,developed,0.045882963,-0.061262432,0.17802146,2524.5,1761.5,2854,2303,-681.5698541
540,2790.541317,736,1985.083809,developed,0.40110564,0.20369393,0.49622828,2281,768,1509,975,-677.8952212
270.5,3007.6372,481,2216.3926,developed,0.5426117,0.2721638,0.7596448,2873.5,392.5,1644,852,-766.8792
534,1828.263512,789,1040.42972,developed,0.2361095,0.017352123,0.5480671,2653,774.5,2562.5,1639.5,-379.683782
495,1802.498848,729,998.0521608,developed,0.25049922,0.027155094,0.5988653,2818,707,2669,1689,-376.8013302
521,1659.111693,764,704.5552929,developed,0.23641962,0.036695555,0.61181194,2811,677,2612,1736,-375.2918659
1839,3154.3656,2257,1913.7297,developed,0.20472845,0.08334617,0.19571501,3516,2365,2975,2321,-921.2027
947,1600.992433,1285,617.1823878,developed,0.23190702,0.064354174,0.45356327,3498,1315,3075,2181,-368.2011192
387.5,446.5831,662.5,-186.7031,developed,0.5694908,0.31556383,0.7191572,3529,576.5,1836,968,-29.8541
297,2371.9833,590,1729.7281,developed,0.54214334,0.23181649,0.7655707,3302.5,438.5,2059.5,980.5,-413.4479
395,2764.6095,602,1922.067,developed,0.38185254,0.123319246,0.59143686,2193,563,1711.5,981,-701.5679
581,1692.201711,780,756.5875706,developed,0.19157088,0.011930586,0.59079283,2799,720,2733,1899,-378.4294627
817,2791.491277,1089,1990.299675,developed,0.08560053,-0.00365408,0.13217993,1636,1254,1648,1378,-686.4990478
1017,3294.7607,1335,2024.6945,developed,0.061297912,-0.023676172,0.12976874,1917.5,1477,2010.5,1696,-1030.3843
516,1692.540235,740,761.2999188,developed,0.31588942,0.08982873,0.6638207,3118,630,2604,1621,-378.0380569
392,2824.081469,655,2043.84407,developed,0.5215183,0.29687855,0.6575422,2846,588,1543,895,-682.5413294
502,1696.260724,725,762.5911118,developed,0.25638878,0.068210155,0.65006876,2999,636,2616,1775,-378.9807051
1294.5,3309.889,1772,2029.1528,developed,0.1043822,0.004667534,0.2861201,3282.5,1822,3252,2662,-1037.6325
462,442.4948,810.5,-188.02,developed,0.540117,0.29032823,0.69176036,3685.5,671.5,2027,1100.5,-27.581
